timestamp,num_epochs,batch_size,model_type,num_drones,distance_threshold,training_corrupt,max_corrupt_ratio,test_corruption_type,test_corruption_mode,test_corruption_percentage,test_loss,depth_abs_rel,depth_sq_rel,depth_rmse,seg_miou,seg_pixel_acc,hidden_dim,output_dim,num_heads,dropout,pretrained,predict_depth,predict_segmentation
2025-03-15 16:23:12,2,4,gat,16,100.0,True,0.5,both,partial,33,1.8306736171245575,0.6228518947958946,0.1842052899301052,0.21236336156725882,0.36274066045880315,0.5245566099882126,128,64,8,0.1,True,True,True
2025-03-15 16:30:49,3,4,gat,16,100.0,True,0.5,both,partial,33,1.8322254478931428,0.6074338853359222,0.1742349274456501,0.21641169488430023,0.2368480280196915,0.4253009960055351,128,64,8,0.1,True,True,True
2025-03-15 20:32:59,100,4,gat,16,100.0,True,0.5,both,partial,33,1.748645281791687,0.5665967494249344,0.16177248805761338,0.20218019410967827,0.6247655878464381,0.7686963587999344,128,64,8,0.1,True,True,True
2025-03-15 23:43:04,100,4,cross_attention,16,100.0,True,0.5,both,partial,33,1.753580778837204,0.5390538096427917,0.15909905284643172,0.20494241639971733,0.6106013655662537,0.7573149263858795,128,64,8,0.1,True,True,True
2025-03-16 16:56:35,3,4,gat,16,100.0,True,0.5,both,partial,33,1.8332729578018188,0.5723989129066467,0.16335107386112213,0.22110771834850312,0.3619428252180418,0.5288410887122155,128,64,8,0.1,True,True,True
2025-03-16 17:11:07,3,4,gat,16,100.0,True,0.5,both,partial,33,1.8196989953517915,0.5668268069624901,0.15542566031217575,0.20647355914115906,0.3060960361113151,0.48804002404212954,128,64,8,0.1,True,True,True
2025-03-16 17:28:37,3,4,gat,16,100.0,True,0.5,both,partial,33,1.827897346019745,0.5769091039896012,0.16253620088100434,0.2172342635691166,0.36760623008012766,0.5309948861598969,128,64,8,0.1,True,True,True
2025-03-16 17:34:25,3,4,gat,16,100.0,True,0.5,both,partial,33,1.82702739238739,0.6077897638082504,0.1843445435166359,0.21227011159062387,0.3437620048721631,0.5233314841985702,128,64,8,0.1,True,True,True
2025-03-16 17:43:47,3,4,gat,16,100.0,True,0.5,both,partial,33,1.8308759868144988,0.6313085839152336,0.19384181275963783,0.21896071135997772,0.2305771410775681,0.4222445622086525,128,64,8,0.1,True,True,True
2025-03-16 17:50:28,3,4,gat,16,100.0,True,0.5,both,partial,33,1.8169810116291045,0.590574848651886,0.16236935257911683,0.20333014354109763,0.3975147763888041,0.5620255887508392,128,64,8,0.1,True,True,True
2025-03-16 17:56:01,3,4,gat,16,100.0,True,0.5,both,partial,33,1.830330640077591,0.608481103181839,0.1842830389738083,0.22455838844180107,0.3384768495957057,0.5074211120605469,128,64,8,0.1,True,True,True
2025-03-16 18:36:05,3,4,gat,16,100.0,True,0.5,both,partial,33,1.8361404716968537,0.7026208907365799,0.26271162554621696,0.2420621134340763,0.2641015375033021,0.4498722568154335,128,64,8,0.1,True,True,True
2025-03-16 18:46:00,3,4,gat,16,100.0,True,0.5,both,partial,33,1.8328024625778199,0.5510317549109459,0.14509596154093743,0.21174551099538802,0.32229674408833187,0.4969728335738182,128,64,8,0.1,True,True,True
2025-03-16 18:53:29,3,4,gat,16,100.0,True,0.5,both,partial,33,1.822900927066803,0.572306253015995,0.15275828018784524,0.2050363264977932,0.39017881900072093,0.5550895154476165,128,64,8,0.1,True,True,True
2025-03-16 19:11:40,3,4,gat,16,100.0,True,0.5,both,partial,33,1.8249317944049834,0.625347937643528,0.18136655166745186,0.20880935341119766,0.3827019050717354,0.551813417673111,128,64,8,0.1,True,True,True
2025-03-16 19:15:32,1,4,gat,16,100.0,True,0.5,both,partial,33,1.8402969062328338,0.6656123340129853,0.20287321656942367,0.21112750321626664,0.3877171044548352,0.5532177209854126,128,64,8,0.1,True,True,True
2025-03-16 19:33:51,1,4,gat,16,100.0,True,0.5,both,partial,33,4556.423192596436,0.6650833696126938,4537.135736083985,15151.352185058593,0.0601894458028255,0.060189444044954146,128,64,8,0.1,True,True,True
2025-03-16 19:44:47,1,4,gat,16,100.0,True,0.5,both,partial,33,4565.386212921143,0.768220740556717,4549.9456039428715,15153.262756347656,0.0601894458028255,0.060189444044954146,128,64,8,0.1,True,True,True
2025-03-16 19:48:13,1,4,gat,16,100.0,True,0.5,both,partial,33,4556.71061553955,0.6633430510759354,4537.995143127441,15151.518981933594,0.0601894458028255,0.060189444044954146,128,64,8,0.1,True,True,True
2025-03-16 20:36:15,30,4,gat,16,100.0,True,0.5,both,partial,33,3947.776528930664,0.7079418264329433,7358.471807861328,13274.5625,0.0601894458028255,0.060189444044954146,128,64,8,0.1,True,True,True
2025-03-16 21:42:13,33,4,gat,16,100.0,True,0.5,both,partial,33,4097.955899047852,0.38048167154192924,6114.704989624023,13822.772595214843,0.33339330280820534,0.4978476226329803,128,64,8,0.1,True,True,True
2025-03-16 22:15:55,5,4,gat,16,100.0,True,0.5,both,partial,33,2740.5829360961916,0.23865292966365814,4457.194131088257,15069.172644042968,0.12316539133510862,0.30281881988048553,128,64,8,0.1,True,True,True
2025-03-16 22:28:20,5,4,gat,16,100.0,True,0.5,both,partial,33,4470.15258102417,0.21815380826592445,4446.947458648681,15038.950732421876,0.3137202980772903,0.5469616845250129,128,64,8,0.1,True,True,True
2025-03-16 22:57:04,5,4,gat,16,100.0,True,0.5,both,partial,33,5080.331198120117,0.2100588336586952,4447.178582763672,15066.335522460937,0.5851806456844012,0.7415927588939667,128,64,8,0.1,True,True,True
